locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
747679,The Brooklyn Pig Inc.,Truck,3283000,BRYANT ST: RITCH ST to ZOE ST (515 - 544),544 BRYANT ST,3762018,3762,18,16MFF-0009,REQUESTED,Hamburgers: French fries: fried chicken and waffles: sandwiches: omelets and sodas,6013468.451,2112291.173,37.78070667,-122.3970147,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0009&ExportPDF=1&Filename=16MFF-0009_schedule.pdf,Th/Fr/Sa:11AM-12AM,,,25/01/16,0,,"(37.7807066695518, -122.397014692415)"
650086,Kiss Point,Truck,10390000,PHELAN AVE: GENEVA AVE \ OCEAN AVE to JUDSON AVE (1 - 199),50 PHELAN AVE,3179010,3179,10,15MFF-0124,REQUESTED,Milk tea and iced tea,5997780.255,2092595.247,37.72574075,-122.4498676,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0124&ExportPDF=1&Filename=15MFF-0124_schedule.pdf,Mo/We/Fr:8AM-5PM,,,29/04/15,0,04/29/2016 12:00:00 AM,"(37.7257407538536, -122.449867611066)"
531039,La Falafel,Truck,13057001,VALENCIA ST: 14TH ST to ROSA PARKS LN (300 - 337),337 VALENCIA ST,3547016,3547,16,14MFF-0088,EXPIRED,Falafel Sandwiches: Fries: Soda: Iced Tea & Various Drinks.,6006211.308,2107613.639,37.76745664,-122.4217883,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0088&ExportPDF=1&Filename=14MFF-0088_schedule.pdf,Tu/We/Th:11AM-4PM;Fr/Sa:4PM-11PM,,03/31/2014 12:00:00 AM,28/03/14,0,03/15/2015 12:00:00 AM,"(37.7674566391069, -122.421788343116)"
509488,Sun Rise Catering,Truck,10664201,POTRERO AVE: 18TH ST to 19TH ST (600 - 698) -- WEST --,690 POTRERO AVE,4025003B,4025,003B,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6010311.877,2105129.793,37.76086695,-122.4074298,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.760866951347, -122.407429830891)"
487714,Teresa Hotdogs,Truck,3790000,CASTRO ST: 17TH ST \ MARKET ST to 18TH ST (400 - 499),444 CASTRO ST,2647006,2647,6,13MFF-0125,REQUESTED,Hot dogs & various beverages,6002234.387,2105616.874,37.76174894,-122.4354011,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0125&ExportPDF=1&Filename=13MFF-0125_schedule.pdf,,,,21/10/13,0,,"(37.7617489380071, -122.435401104403)"
558549,Raspados El Yocateco,Push Cart,9117000,MISSION ST: 17TH ST to CLARION ALY (2100 - 2131),2100 MISSION ST,3576001,3576,1,14MFF-0101,REQUESTED,Shaved Ice: Tamarind: Strawberry: Lemon: horchata: hibiscus,6006755.774,2106062.368,37.7632279,-122.419795,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0101&ExportPDF=1&Filename=14MFF-0101_schedule.pdf,Su/Tu/Th:12PM-6PM,,,22/05/14,0,,"(37.7632279025439, -122.419795019128)"
509490,Sun Rise Catering,Truck,7057000,HOWARD ST: 11TH ST to LAFAYETTE ST (1500 - 1549),1523 HOWARD ST,3516065,3516,65,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6008001.678,2109463.17,37.77263582,-122.4157267,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7726358180055, -122.415726650735)"
437202,Natan's Catering,Truck,10658000,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010061.632,2107930.589,37.76854329,-122.4084929,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:10AM-11AM;Mo-Fr:4PM-5PM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7685432890242, -122.408492892439)"
526281,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,12195000,STOCKTON ST: OFARRELL ST to GEARY ST (100 - 199),101 STOCKTON ST,314002,314,2,14MFF-0049,EXPIRED,Soft Pretzels: hot dogs: sausage: chips: popcorn: soda: espresso: cappucino: pastries: ice cream: italian sausages: shish-ka-bob: churros: juice: water: various drinks,6010660.159,2114587.863,37.78685611,-122.4068919,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0049&ExportPDF=1&Filename=14MFF-0049_schedule.pdf,Mo-Su:6AM-9PM,,06/02/14 0:00,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7868561118831, -122.406891892997)"
519939,Bob Johnson,Truck,10979000,REVERE AVE: 03RD ST \ BAY VIEW ST to BRIDGEVIEW DR \ NEWHALL ST (1700 - 1799),1709 REVERE AVE,5343033,5343,33,14MFF-0009,EXPIRED,Watermelon,6014544.72,2094734.467,37.73255958,-122.3920632,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0009&ExportPDF=1&Filename=14MFF-0009_schedule.pdf,Mo-Su:10AM-7PM,,02/25/2014 12:00:00 AM,25/02/14,1,03/15/2015 12:00:00 AM,"(37.7325595789318, -122.392063194969)"
437205,Natan's Catering,Truck,0,,Assessors Block 4046/Lot001,4046001,4046,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016675.163,2105416.559,37.76200846,-122.3854418,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7620084580302, -122.385441811568)"
437224,Natan's Catering,Truck,4345000,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,3983037,3983,37,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013067.343,2106377.709,37.7644473,-122.3979874,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM/1PM-2PM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7644472955619, -122.397987371508)"
437191,Natan's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6013220.459,2100301.58,37.74777209,-122.3970317,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:10AM-11AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7477720916075, -122.397031718978)"
735315,Ziaurehman Amini,Push Cart,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,264004,264,4,15MFF-0159,REQUESTED,,6013552.57,2116844.5,37.79321373,-122.397043,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,31/12/15,0,03/15/2016 12:00:00 AM,"(37.7932137316634, -122.397043036718)"
759980,Lobsta Truck,Truck,24661000,GRANT AVE: CAMPTON PL intersection,207 GRANT AVE,294006,294,6,16MFF-0013,REQUESTED,Lobster rolls: crab rolls: clam chowder: lobster bisque: chips: sodas: lemonade: whoopie pies,6011074.034,2115335.554,37.78893224,-122.4055127,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0013&ExportPDF=1&Filename=16MFF-0013_schedule.pdf,Su/Fr/Sa:10AM-8PM,,,03/03/16,0,03/15/2017 12:00:00 AM,"(37.7889322436563, -122.405512652889)"
437197,Natan's Catering,Truck,0,,Assessors Block 4058/Lot010,4058010,4058,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015895.442,2105131.652,37.76118299,-122.3881187,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7611829945051, -122.388118704077)"
631837,"Del Popolo, LLC.",Truck,8754201,MARKET ST: 10TH ST \ FELL ST \ POLK ST to SOUTH VAN NESS AVE \ VAN NESS AVE (1400 - 1498) -- NORTH --,1438 MARKET ST,835002,835,2,15MFF-0068,EXPIRED,Pizza & various drinks,6007245.87,2110789.475,37.77623502,-122.4184351,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0068&ExportPDF=1&Filename=15MFF-0068_schedule.pdf,Mo-We:8AM-3PM,,03/13/2015 12:00:00 AM,13/03/15,0,03/15/2016 12:00:00 AM,"(37.7762350184712, -122.418435137885)"
487710,Teresa Hotdogs,Truck,8767101,MARKET ST: 16TH ST \ NOE ST to 17TH ST \ CASTRO ST (2301 - 2399) -- SOUTH --,2367 MARKET ST,3563036,3563,36,13MFF-0124,REQUESTED,Hot dogs & various beverages,6002545.829,2106007.326,37.76283871,-122.4343519,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0124&ExportPDF=1&Filename=13MFF-0124_schedule.pdf,Su/Fr/Sa:12AM-3AM;Th/Fr/Sa:10PM-12AM,,,21/10/13,0,,"(37.7628387070954, -122.434351868931)"
509491,Sun Rise Catering,Truck,8100000,LANGTON ST: DECKER ALY to HARRISON ST (108 - 183),175 LANGTON ST,3755200,3755,200,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6010511.607,2110467.278,37.77553364,-122.4071153,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7755336414436, -122.407115289202)"
494584,Sinthya's Hot Dogs,Truck,5676000,FOLSOM ST: RAUSCH ST to RODGERS ST (1148 - 1175),1155 FOLSOM ST,3755077,3755,77,13MFF-0128,REQUESTED,Hot dogs: chips: soda: corn on the cob: french fries,6010017.316,2110512.68,37.77563063,-122.4088284,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0128&ExportPDF=1&Filename=13MFF-0128_schedule.pdf,Th/Fr/Sa:10PM-3AM,,,04/11/13,0,,"(37.7756306307592, -122.408828372369)"
305735,Bombay Blvd.,Truck,165000,03RD ST: JESSIE ST to MISSION ST (68 - 99),86 03RD ST,3706093,3706,93,11MFF-0040,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,6011914.846,2114325.584,37.78620608,-122.4025325,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0040&ExportPDF=1&Filename=11MFF-0040_schedule.pdf,Mo-Su:10AM-3PM/5PM-8PM,,,07/03/11,0,,"(37.7862060821039, -122.402532491346)"
427471,French Creme Brulee,Push Cart,8745201,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,312004,312,4,13MFF-0042,EXPIRED,Creme Brulee: Creme au Chocolat: Creme au Caramel:  Panna Cotta: Mini Cheesecakes: Pumpkin Cake: Salade De Fruits: Crepes with Fruit: Cold Drinks: Ice Cream: Water.,6011475.041,2114841.614,37.78759842,-122.4040904,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0042&ExportPDF=1&Filename=13MFF-0042_schedule.pdf,Mo-Su:8AM-8PM,,03/12/13 0:00,12/03/13,0,03/15/2014 12:00:00 AM,"(37.7875984155546, -122.404090439434)"
526126,Bach Catering,Truck,13780000,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1485 YOSEMITE AVE,4847025,4847,25,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6015155.575,2092076.679,37.72529572,-122.3897657,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:9AM-10AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7252957217827, -122.389765731256)"
509493,Sun Rise Catering,Truck,9514000,NATOMA ST: 07TH ST to 08TH ST (600 - 699),640 NATOMA ST,3727052,3727,52,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6009405.865,2111311.935,37.77779093,-122.411,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-10AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7777909291434, -122.411000005343)"
437226,Natan's Catering,Truck,185205,,1650 03RD ST,8711007,8711,7,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014983.883,2108042.285,37.76912441,-122.3914749,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:9AM-11AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7691244121681, -122.391474911246)"
526146,Cheese Gone Wild,Truck,13160101,VAN NESS AVE: CLAY ST to WASHINGTON ST (1801 - 1899) -- WEST --,1801 VAN NESS AVE,618002,618,2,14MFF-0035,EXPIRED,Grilled Cheese Sandwiches,6006008.931,2116666.941,37.79230338,-122.4231319,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf,Th:6AM-10AM;Mo/Sa:6AM-8PM,,03/13/2014 12:00:00 AM,13/03/14,0,03/15/2015 12:00:00 AM,"(37.7923033830753, -122.423131922094)"
437218,Natan's Catering,Truck,10827000,QUINT ST: ARTHUR AVE to CUSTER AVE (1 - 199),50 QUINT ST,5201001,5201,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015535.265,2099780.721,37.74647051,-122.3889908,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:7AM-8AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7464705066471, -122.388990808654)"
437193,Natan's Catering,Truck,0,,Assessors Block 5598/Lot031,5598031,5598,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6010555.368,2097635.855,37.74030387,-122.4060597,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.740303872806, -122.406059743494)"
773095,Athena SF Gyro,Push Cart,30747000,MARKET ST: 11TH ST intersection,10 SOUTH VAN NESS AVE,3506004,3506,4,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6006927.466,2110076.439,37.77425926,-122.419486,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,We/Th/Fr:6AM-6PM,,,01/09/15,0,,"(37.77425926306, -122.419485988398)"
773110,Athena SF Gyro,Push Cart,8739101,MARKET ST: MAIN ST to BEALE ST \ DAVIS ST \ PINE ST (215 - 299) -- SOUTH --,245 MARKET ST,3711019,3711,19,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6013722.24,2116531.414,37.79236351,-122.396434,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,Mo-We:6AM-6PM,,,01/09/15,0,,"(37.792363514411, -122.396434007976)"
773105,Athena SF Gyro,Push Cart,417000,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,6011509.501,2108803.834,37.771022,-122.4035463,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0145&ExportPDF=1&Filename=15MFF-0145_schedule.pdf,Mo-We:6AM-6PM,,,01/09/15,0,,"(37.7710219992437, -122.403546254184)"
848184,Reecees Soulicious,Truck,2799106,BAY SHORE BLVD: END to OAKDALE AVE (185 - 299) -- EAST --,201 BAY SHORE BLVD,5559021,5559,21,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6011355.555,2099442.374,37.74530891,-122.4034201,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,Mo-We:7AM-7PM,,,08/09/16,0,03/15/2017 12:00:00 AM,"(37.7453089086563, -122.403420059999)"
848185,Reecees Soulicious,Truck,211101,03RD ST: NEWCOMB AVE to OAKDALE AVE (4701 - 4799) -- EAST --,4705 03RD ST,5311036,5311,36,16MFF-0139,REQUESTED,Fried Chicken: Fried Fish: Greens: Mac & Cheese: Peach Cobbler: and String beans,6015109.358,2095613.38,37.73500423,-122.3901725,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0139&ExportPDF=1&Filename=16MFF-0139_schedule.pdf,Th/Fr/Sa:7AM-7PM,,,08/09/16,0,03/15/2017 12:00:00 AM,"(37.7350042289514, -122.3901724697)"
784919,Golden Gate Halal Food,,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),251 GEARY ST,314014,314,14,16MFF-0094,REQUESTED,,6010516.291,2114707.404,37.78717629,-122.4073981,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0094&ExportPDF=1&Filename=16MFF-0094_schedule.pdf,,,,18/04/16,0,,"(37.7871762917416, -122.407398075958)"
784915,Golden Gate Halal Food,,8746201,MARKET ST: GRANT AVE \ OFARRELL ST to 04TH ST \ ELLIS ST \ STOCKTON ST (750 - 798) -- NORTH --,768 MARKET ST,328001,328,1,16MFF-0094,REQUESTED,,6011046.149,2114435.386,37.78645904,-122.4055457,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0094&ExportPDF=1&Filename=16MFF-0094_schedule.pdf,Mo/Th/Fr:8AM-9PM,,,18/04/16,0,,"(37.7864590368571, -122.405545707116)"
784921,Golden Gate Halal Food,,8747103,MARKET ST: POWELL ST to 05TH ST \ CYRIL MAGNIN ST (865 - 899) -- SOUTH --,865 MARKET ST,3705042,3705,42,16MFF-0094,REQUESTED,,6010561.591,2113530.347,37.78394691,-122.4071583,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0094&ExportPDF=1&Filename=16MFF-0094_schedule.pdf,,,,18/04/16,0,,"(37.7839469079742, -122.407158344984)"
795865,Doc's of the Bay,Truck,9124000,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2600 MISSION ST,3636001,3636,1,16MFF-0102,REQUESTED,Burgers: French Fries: Black Bean Burgers: Mac and Cheese: drinks,6006899.272,2103162.041,37.75527236,-122.419093,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0102&ExportPDF=1&Filename=16MFF-0102_schedule.pdf,Su:12AM-2AM;Sa:6PM-12AM,,,02/05/16,0,03/15/2017 12:00:00 AM,"(37.7552723597518, -122.419092971602)"
795864,Doc's of the Bay,Truck,731000,16TH ST: CALEDONIA ST to VALENCIA ST (3072 - 3099),3092 16TH ST,3554016,3554,16,16MFF-0102,REQUESTED,Burgers: French Fries: Black Bean Burgers: Mac and Cheese: drinks,6006249.865,2106782.214,37.76517592,-122.4215959,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0102&ExportPDF=1&Filename=16MFF-0102_schedule.pdf,Su:6PM-12AM,,,02/05/16,0,03/15/2017 12:00:00 AM,"(37.7651759170672, -122.421595922098)"
795863,Doc's of the Bay,Truck,13408000,WASHINGTON ST: SANSOME ST to HOTALING PL (500 - 549),535 WASHINGTON ST,0207 033,207,33,16MFF-0102,REQUESTED,Burgers: French Fries: Black Bean Burgers: Mac and Cheese: drinks,6012074.046,2117582.92,37.79515884,-122.4022108,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0102&ExportPDF=1&Filename=16MFF-0102_schedule.pdf,Tu/We/Th:6AM-2PM,,,02/05/16,0,03/15/2017 12:00:00 AM,"(37.7951588416202, -122.402210795235)"
812018,Spice Affairs,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6012350.571,2114444.914,37.78655805,-122.4010334,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,,,,31/05/16,0,,"(37.7865580501799, -122.40103337535)"
812017,Spice Affairs,Truck,12320000,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,287014,287,14,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6011162.135,2115691.265,37.78991387,-122.4052329,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,,,,31/05/16,0,,"(37.7899138671344, -122.405232892524)"
654049,Betty McGee Creole,Truck,19983000,04TH ST: MISSION ROCK ST to CHINA BASIN ST (1200 - 1299),1201 04TH ST,8711028,8711,28,15MFF-0129,EXPIRED,Cajun: PoBoy Sandwiches: Salmon: Shrimp: Catfish: Oysters: Sausages: Gumbo: Fries: Salad: Pies: Cookies: Cake: Chips: Beignets: Waffles: Beverages,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0129&ExportPDF=1&Filename=15MFF-0129_schedule.pdf,Mo-Su:8AM-4PM,,05/11/15 0:00,11/05/15,0,03/15/2016 12:00:00 AM,"(0, 0)"
617523,Bomba,Truck,11544000,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),220 SANSOME ST,2617617,2617,617,15MFF-0004,REQUESTED,Sandwiches,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0004&ExportPDF=1&Filename=15MFF-0004_schedule.pdf,Mo/We/Fr:11AM-3PM,,,05/02/15,0,,"(0, 0)"
526125,Bach Catering,Truck,223201,03RD ST: ARMSTRONG AVE to BANCROFT AVE (5600 - 5698) -- WEST --,5600 03RD ST,5421003,5421,3,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:9AM-10AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(0, 0)"
